Index,InferTime,PostProcessTime
0,0.1489145756,0.1654005051
1,0.1528093815,0.0127465725
2,0.1514332294,0.0105817318
3,0.1497187614,0.0118260384
4,0.1527879238,0.0110893250
5,0.1563413143,0.0118174553
6,0.1502726078,0.0108253956
7,0.1542856693,0.0135166645
8,0.1506223679,0.0103013515
9,0.1504459381,0.0116646290
10,0.1522169113,0.0101931095
11,0.1506400108,0.0102422237
12,0.1505310535,0.0110969543
13,0.1496341228,0.0123324394
14,0.1538128853,0.0104148388
15,0.1508347988,0.0102014542
16,0.1500210762,0.0097577572
17,0.1491160393,0.0106132030
18,0.1513667107,0.0101282597
19,0.1522829533,0.0102727413
20,0.1501076221,0.0102610588
21,0.1501240730,0.0104236603
22,0.1490371227,0.0103297234
23,0.1501834393,0.0128760338
24,0.1667301655,0.0108993053
25,0.1495201588,0.0097973347
26,0.1495106220,0.0101613998
27,0.1500120163,0.0105590820
28,0.1494359970,0.0108556747
29,0.1551136971,0.0114874840
30,0.1563420296,0.0106151104
31,0.1578354836,0.0103230476
32,0.1527159214,0.0119426250
33,0.1616528034,0.0125765800
34,0.1568932533,0.0107743740
35,0.1563460827,0.0108633041
36,0.1700644493,0.0136260986
37,0.1625559330,0.0128369331
38,0.1629469395,0.0136492252
39,0.1628196239,0.0125856400
40,0.1596066952,0.0110144615
41,0.1601526737,0.0106072426
42,0.1599895954,0.0109965801
43,0.1552035809,0.0109953880
44,0.1528277397,0.0128569603
45,0.1541297436,0.0148587227
46,0.1581537724,0.0134212971
47,0.1553204060,0.0121111870
48,0.1535952091,0.0104677677
49,0.1494379044,0.0104033947
50,0.1496903896,0.0102124214
51,0.1466875076,0.0099890232
52,0.1477096081,0.0100469589
53,0.1462926865,0.0102281570
54,0.1511197090,0.0099129677
55,0.1489822865,0.0097382069
56,0.1458897591,0.0101265907
57,0.1469049454,0.0102100372
58,0.1483733654,0.0097486973
59,0.1464037895,0.0099639893
60,0.1483371258,0.0104222298
61,0.1501460075,0.0099415779
62,0.1468136311,0.0102705956
63,0.1474885941,0.0102760792
64,0.1467332840,0.0081393719
65,0.1475276947,0.0099105835
66,0.1467463970,0.0123651028
67,0.1490740776,0.0100808144
68,0.1476118565,0.0104033947
69,0.1469845772,0.0041942596
70,0.1467759609,0.0102500916
71,0.1466188431,0.0102338791
72,0.1469020844,0.0099737644
73,0.1464788914,0.0097568035
74,0.1468391418,0.0100109577
75,0.1469118595,0.0096986294
76,0.1466856003,0.0098278522
77,0.1458518505,0.0098123550
78,0.1470277309,0.0103120804
79,0.1471865177,0.0097591877
80,0.1472861767,0.0099380016
81,0.1464385986,0.0101733208
82,0.1460912228,0.0097994804
83,0.1460580826,0.0100357533
84,0.1469051838,0.0098485947
85,0.1491248608,0.0108382702
86,0.1499052048,0.0097215176
87,0.1518802643,0.0101158619
88,0.1479558945,0.0103564262
89,0.1467838287,0.0098307133
90,0.1459348202,0.0100979805
91,0.1484384537,0.0097639561
92,0.1471743584,0.0100388527
93,0.1469228268,0.0095407963
94,0.1454222202,0.0098652840
95,0.1472206116,0.0099003315
96,0.1470966339,0.0099840164
97,0.1470959187,0.0100057125
98,0.1480267048,0.0103509426
99,0.1461720467,0.0099613667

Avg Inference Time: 150.7718276977539 ms
Avg Post-Processing Time: 12.161831855773926 ms
Avg Total Time: 162.93365955352783 ms
